ID,Unlocalised name,Type,Min Level,Max Level,Class
42,enchantment.molecule.nodularin.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
43,enchantment.molecule.tetrodotoxin.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
44,enchantment.molecule.thc.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
45,enchantment.molecule.buli.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
46,enchantment.molecule.phosgene.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
47,enchantment.molecule.aalc.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
48,enchantment.arrowDamage,bow,1,5,net.minecraft.enchantment.EnchantmentArrowDamage
49,enchantment.arrowKnockback,bow,1,2,net.minecraft.enchantment.EnchantmentArrowKnockback
50,enchantment.arrowFire,bow,1,1,net.minecraft.enchantment.EnchantmentArrowFire
51,enchantment.arrowInfinite,bow,1,1,net.minecraft.enchantment.EnchantmentArrowInfinite
52,enchantment.molecule.hist.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
53,enchantment.molecule.pal2.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
54,enchantment.molecule.retinol.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
55,enchantment.molecule.xylitol.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
56,enchantment.molecule.xanax.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
57,enchantment.molecule.cocaine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
58,enchantment.molecule.cocainehcl.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
59,enchantment.molecule.metblue.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
60,enchantment.molecule.meoh.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
61,enchantment.lootBonusFishing,fishing_rod,1,3,net.minecraft.enchantment.EnchantmentLootBonus
62,enchantment.fishingSpeed,fishing_rod,1,3,net.minecraft.enchantment.EnchantmentFishingSpeed
63,enchantment.molecule.radchlor.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
64,enchantment.molecule.caulerpenyne.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
65,enchantment.molecule.latropine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
66,enchantment.molecule.cysteine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
67,enchantment.molecule.threonine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
68,enchantment.molecule.methionine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
69,enchantment.molecule.tyrosine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
70,enchantment.molecule.histidine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
71,enchantment.molecule.phenylalanine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
72,enchantment.molecule.proline.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
73,enchantment.molecule.leucine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
74,enchantment.molecule.isoleucine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
75,enchantment.molecule.asparagine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
76,enchantment.molecule.dimethyltryptamine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
100,enchant.cofh.holding,all,1,4,cofh.core.enchantment.EnchantmentHolding
101,enchant.cofh.multishot,bow,1,4,cofh.core.enchantment.EnchantmentMultishot
110,simplyjetpacks.enchantment.fuelEfficiency,simplyjetpacks,1,4,tonius.simplyjetpacks.enchantment.EnchantmentFuelEfficiency
150,enchantment.haste,armor,1,3,thaumcraft.common.lib.enchantment.EnchantmentHaste
151,enchantment.repair,all,1,2,thaumcraft.common.lib.enchantment.EnchantmentRepair
160,enchantment.SpecialMobs.painBow,bow,1,3,toast.specialMobs.EnchantmentSpecial
161,enchantment.SpecialMobs.painSword,weapon,1,3,toast.specialMobs.EnchantmentSpecial
162,enchantment.SpecialMobs.plagueBow,bow,1,3,toast.specialMobs.EnchantmentSpecial
163,enchantment.SpecialMobs.plagueSword,weapon,1,3,toast.specialMobs.EnchantmentSpecial
164,enchantment.SpecialMobs.poisonBow,bow,1,2,toast.specialMobs.EnchantmentSpecial
165,enchantment.SpecialMobs.poisonSword,weapon,1,1,toast.specialMobs.EnchantmentSpecial
166,enchantment.ttinkerer:dispersedStrike,weapon,1,5,thaumic.tinkerer.common.enchantment.EnchantmentDispersedStrikes
167,enchantment.ttinkerer:shatter,digger,1,5,thaumic.tinkerer.common.enchantment.EnchantmentShatter
168,enchantment.ttinkerer:finalStrike,weapon,1,5,thaumic.tinkerer.common.enchantment.EnchantmentFinalStrike
169,enchantment.ttinkerer:focusedStrike,weapon,1,5,thaumic.tinkerer.common.enchantment.EnchantmentFocusedStrikes
170,enchantment.ttinkerer:pounce,armor_legs,1,5,thaumic.tinkerer.common.enchantment.EnchantmentPounce
171,enchantment.ttinkerer:shockwave,armor_feet,1,5,thaumic.tinkerer.common.enchantment.EnchantmentShockwave
172,enchantment.ttinkerer:tunnel,digger,1,5,thaumic.tinkerer.common.enchantment.EnchantmentTunnel
173,enchantment.ttinkerer:valiance,weapon,1,5,thaumic.tinkerer.common.enchantment.EnchantmentValiance
190,enchantment.railcraft.crowbar.wrecking,digger,1,5,mods.railcraft.common.items.enchantment.EnchantmentDamageRailcraft
191,enchantment.railcraft.crowbar.implosion,digger,1,5,mods.railcraft.common.items.enchantment.EnchantmentDamageRailcraft
192,enchantment.railcraft.crowbar.destruction,digger,1,3,mods.railcraft.common.items.enchantment.EnchantmentDestruction
211,enchantment.openblocks.explosive,armor,1,3,openblocks.enchantments.EnchantmentExplosive
212,enchantment.openblocks.laststand,armor,1,2,openblocks.enchantments.EnchantmentLastStand
213,enchantment.openblocks.flimflam,all,1,4,openblocks.enchantments.EnchantmentFlimFlam
220,enchantment.ttinkerer:ascentBoost,armor_legs,1,4,thaumic.tinkerer.common.enchantment.EnchantmentAscentBoost
221,enchantment.ttinkerer:slowFall,armor_feet,1,3,thaumic.tinkerer.common.enchantment.EnchantmentSlowFall
222,enchantment.ttinkerer:autoSmelt,digger,1,1,thaumic.tinkerer.common.enchantment.EnchantmentAutoSmelt
223,enchantment.ttinkerer:desintegrate,digger,1,1,thaumic.tinkerer.common.enchantment.EnchantmentDesintegrate
224,enchantment.ttinkerer:quickDraw,bow,1,2,thaumic.tinkerer.common.enchantment.EnchantmentQuickDraw
225,enchantment.ttinkerer:vampirism,weapon,1,2,thaumic.tinkerer.common.enchantment.EnchantmentVampirism
