Fluid,Amount,Empty Container,Empty Container Display Name,Empty Container Item,Filled Container,Filled Container Display Name,Filled Container Item
element.hs,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.hs
element.i,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.i
element.i,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@53,Iodine,minechem:minechemElement
element.in,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.in
element.in,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@49,Indium,minechem:minechemElement
element.ir,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.ir
element.ir,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@77,Iridium,minechem:minechemElement
element.k,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.k
element.k,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@19,Potassium,minechem:minechemElement
element.kr,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.kr
element.kr,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@36,Krypton,minechem:minechemElement
element.la,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.la
element.la,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@57,Lanthanum,minechem:minechemElement
element.li,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.li
element.li,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@3,Lithium,minechem:minechemElement
element.lr,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.lr
element.lr,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@103,Lawrencium,minechem:minechemElement
element.lu,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.lu
element.lu,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@71,Lutetium,minechem:minechemElement
element.md,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.md
element.md,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@101,Mendelevium,minechem:minechemElement
element.mg,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.mg
element.mg,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@12,Magnesium,minechem:minechemElement
element.mn,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.mn
element.mn,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@25,Manganese,minechem:minechemElement
element.mo,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.mo
element.mo,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@42,Molybdenum,minechem:minechemElement
element.mt,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.mt
element.mt,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@109,Meitnerium,minechem:minechemElement
element.n,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.n
element.n,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@7,Nitrogen,minechem:minechemElement
element.na,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@11,Sodium,minechem:minechemElement
element.na,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.na
element.nb,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@41,Niobium,minechem:minechemElement
element.nb,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.nb
element.nd,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.nd
element.nd,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@60,Neodymium,minechem:minechemElement
element.ne,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.ne
element.ne,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@10,Neon,minechem:minechemElement
element.ni,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.ni
element.ni,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@28,Nickel,minechem:minechemElement
element.no,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.no
element.no,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@102,Nobelium,minechem:minechemElement
element.np,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.np
element.np,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@93,Neptunium,minechem:minechemElement
element.o,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.o
element.o,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@8,Oxygen,minechem:minechemElement
element.os,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.os
element.os,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@76,Osmium,minechem:minechemElement
element.p,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.p
element.p,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@15,Phosphorus,minechem:minechemElement
element.pa,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.pa
element.pa,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@91,Protactinium,minechem:minechemElement
element.pb,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.pb
element.pb,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@82,Lead,minechem:minechemElement
element.pd,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.pd
element.pd,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@46,Palladium,minechem:minechemElement
